"id","order_date","order_name","delivery_charges","order_total","createdAt","updatedAt"
"cmnfml42d005qjxxwf6ofsygo","2025-12-03 18:30:00.000","ORD-0025","50.00","4414.00","2026-04-01 05:48:53.077","2026-04-01 05:48:53.077"
"cmnfml479005wjxxwgkc7v9aq","2025-12-04 18:30:00.000","ORD-0026","0.00","815.00","2026-04-01 05:48:53.254","2026-04-01 05:48:53.254"
"cmnfml4cf005yjxxwh4up2nrc","2025-12-05 18:30:00.000","ORD-0027","30.00","1276.00","2026-04-01 05:48:53.439","2026-04-01 05:48:53.439"
"cmnfml4hm0061jxxw9v96ybd6","2025-12-06 18:30:00.000","ORD-0028","0.00","3050.00","2026-04-01 05:48:53.626","2026-04-01 05:48:53.626"
"cmnfml4mr0065jxxw56vgvb2q","2025-12-07 18:30:00.000","ORD-0029","50.00","1104.00","2026-04-01 05:48:53.811","2026-04-01 05:48:53.811"
"cmnfml4sb0067jxxwr3mm91e6","2025-12-08 18:30:00.000","ORD-0030","30.00","5345.00","2026-04-01 05:48:54.011","2026-04-01 05:48:54.011"
"cmnfml4xh006djxxwy8kdsoek","2025-12-09 18:30:00.000","ORD-0031","30.00","3547.00","2026-04-01 05:48:54.197","2026-04-01 05:48:54.197"
"cmnfml52v006hjxxwz45yrv7l","2025-12-10 18:30:00.000","ORD-0032","50.00","2760.00","2026-04-01 05:48:54.391","2026-04-01 05:48:54.391"
"cmnfml57v006kjxxwxk7lalqs","2025-12-11 18:30:00.000","ORD-0033","0.00","2584.00","2026-04-01 05:48:54.571","2026-04-01 05:48:54.571"
"cmnfml5cy006njxxwta8r2jsl","2025-12-12 18:30:00.000","ORD-0034","0.00","4923.00","2026-04-01 05:48:54.754","2026-04-01 05:48:54.754"
"cmnfml5ia006sjxxwyaj94u0k","2025-12-13 18:30:00.000","ORD-0035","50.00","3290.00","2026-04-01 05:48:54.946","2026-04-01 05:48:54.946"
"cmnfml5nk006xjxxwii2dg8mk","2025-12-14 18:30:00.000","ORD-0036","50.00","4326.00","2026-04-01 05:48:55.136","2026-04-01 05:48:55.136"
"cmnfml5sz0074jxxw14vzglfn","2025-12-15 18:30:00.000","ORD-0037","0.00","4392.00","2026-04-01 05:48:55.332","2026-04-01 05:48:55.332"
"cmnfml5y90079jxxwlfn0pu32","2025-12-16 18:30:00.000","ORD-0038","0.00","2784.00","2026-04-01 05:48:55.521","2026-04-01 05:48:55.521"
"cmnfml63u007ejxxwjbpberaf","2025-12-31 18:30:00.000","ORD-0039","50.00","3344.00","2026-04-01 05:48:55.722","2026-04-01 05:48:55.722"
"cmnfml698007ijxxwm8ubi2u7","2026-01-01 18:30:00.000","ORD-0040","0.00","1445.00","2026-04-01 05:48:55.916","2026-04-01 05:48:55.916"
"cmnfml6ee007ljxxwrp3t6efg","2026-01-02 18:30:00.000","ORD-0041","30.00","4059.00","2026-04-01 05:48:56.102","2026-04-01 05:48:56.102"
"cmnfml6k4007pjxxw0467cqd9","2026-01-03 18:30:00.000","ORD-0042","30.00","1793.00","2026-04-01 05:48:56.308","2026-04-01 05:48:56.308"
"cmnfml6pd007sjxxwlcqwcw7f","2026-01-04 18:30:00.000","ORD-0043","30.00","970.00","2026-04-01 05:48:56.497","2026-04-01 05:48:56.497"
"cmnfml6uu007ujxxw5y0prj89","2026-01-05 18:30:00.000","ORD-0044","0.00","5712.00","2026-04-01 05:48:56.694","2026-04-01 05:48:56.694"
"cmnfml71t0083jxxwb5nf9qqm","2026-01-06 18:30:00.000","ORD-0045","50.00","4381.00","2026-04-01 05:48:56.946","2026-04-01 05:48:56.946"
"cmnfml77d0088jxxwhmo4fknk","2026-01-07 18:30:00.000","ORD-0046","30.00","996.00","2026-04-01 05:48:57.146","2026-04-01 05:48:57.146"
"cmnfml7co008ajxxw8az2j471","2026-01-08 18:30:00.000","ORD-0047","30.00","1938.00","2026-04-01 05:48:57.336","2026-04-01 05:48:57.336"
"cmnfml7is008ejxxw0qcznl8n","2026-01-09 18:30:00.000","ORD-0048","30.00","5486.00","2026-04-01 05:48:57.556","2026-04-01 05:48:57.556"
"cmnfml7ny008ljxxwzsg86isu","2026-01-10 18:30:00.000","ORD-0049","30.00","4210.00","2026-04-01 05:48:57.743","2026-04-01 05:48:57.743"
"cmnfml7tu008qjxxwd5gg3lf1","2026-01-11 18:30:00.000","ORD-0050","30.00","863.00","2026-04-01 05:48:57.955","2026-04-01 05:48:57.955"
"cmnfml7za008tjxxw17caanzb","2026-01-12 18:30:00.000","ORD-0051","0.00","2109.00","2026-04-01 05:48:58.151","2026-04-01 05:48:58.151"
"cmnfml84a008xjxxwaphm4opc","2026-01-13 18:30:00.000","ORD-0052","30.00","4613.00","2026-04-01 05:48:58.331","2026-04-01 05:48:58.331"
"cmnfml89t0094jxxwo5cog36e","2026-01-14 18:30:00.000","ORD-0053","0.00","987.00","2026-04-01 05:48:58.530","2026-04-01 05:48:58.530"
"cmnfml8f90097jxxwfx6g6e0j","2026-01-15 18:30:00.000","ORD-0054","30.00","2776.00","2026-04-01 05:48:58.725","2026-04-01 05:48:58.725"
"cmnfml8kj009bjxxwf9rhsg12","2026-01-31 18:30:00.000","ORD-0055","50.00","5714.00","2026-04-01 05:48:58.915","2026-04-01 05:48:58.915"
"cmnfml8pz009hjxxwjguz8ubw","2026-02-01 18:30:00.000","ORD-0056","0.00","5165.00","2026-04-01 05:48:59.112","2026-04-01 05:48:59.112"
"cmnfml8vi009ojxxwcdz5m8yn","2026-02-02 18:30:00.000","ORD-0057","30.00","2469.00","2026-04-01 05:48:59.310","2026-04-01 05:48:59.310"
"cmnfml913009sjxxwg9w0y6jn","2026-02-03 18:30:00.000","ORD-0058","0.00","3529.00","2026-04-01 05:48:59.511","2026-04-01 05:48:59.511"
"cmnfml96d009wjxxw3jmtr9bp","2026-02-04 18:30:00.000","ORD-0059","0.00","3381.00","2026-04-01 05:48:59.702","2026-04-01 05:48:59.702"
"cmnfml9c300a0jxxwlxzhyc2o","2026-02-28 18:30:00.000","ORD-0060","30.00","2121.00","2026-04-01 05:48:59.907","2026-04-01 05:48:59.907"
"cmnfml9ii00a4jxxw6kgvwizu","2026-03-01 18:30:00.000","ORD-0061","50.00","2484.00","2026-04-01 05:49:00.138","2026-04-01 05:49:00.138"
"cmnfml9pw00a7jxxwxa99jla4","2026-03-02 18:30:00.000","ORD-0062","0.00","3979.00","2026-04-01 05:49:00.404","2026-04-01 05:49:00.404"
"cmnfml9v900adjxxwrya8fbo3","2026-03-03 18:30:00.000","ORD-0063","0.00","5274.00","2026-04-01 05:49:00.597","2026-04-01 05:49:00.597"
"cmnfmla0i00ajjxxwt73gsvix","2026-03-04 18:30:00.000","ORD-0064","50.00","5434.00","2026-04-01 05:49:00.787","2026-04-01 05:49:00.787"
"cmnfmla6e00aqjxxw8ayxckip","2026-03-05 18:30:00.000","ORD-0065","0.00","2124.00","2026-04-01 05:49:00.999","2026-04-01 05:49:00.999"
"cmnfmlabu00atjxxwd9krdw8s","2026-03-06 18:30:00.000","ORD-0066","50.00","4543.00","2026-04-01 05:49:01.195","2026-04-01 05:49:01.195"
"cmnfmlahq00azjxxwprqgnnqh","2026-03-07 18:30:00.000","ORD-0067","30.00","3286.00","2026-04-01 05:49:01.406","2026-04-01 05:49:01.406"
"cmnfmlaoo00b7jxxwas9to9e5","2026-03-08 18:30:00.000","ORD-0068","50.00","4958.00","2026-04-01 05:49:01.657","2026-04-01 05:49:01.657"
"cmnfmlaun00bejxxwxmizgq61","2026-03-09 18:30:00.000","ORD-0069","30.00","4204.00","2026-04-01 05:49:01.872","2026-04-01 05:49:01.872"
"cmnfmlb0k00bkjxxwla49j4hf","2026-03-10 18:30:00.000","ORD-0070","0.00","2697.00","2026-04-01 05:49:02.084","2026-04-01 05:49:02.084"
"cmnfmlb6900bpjxxwt0xfvarg","2026-03-11 18:30:00.000","ORD-0071","30.00","804.00","2026-04-01 05:49:02.290","2026-04-01 05:49:02.290"
"cmnfmlbc400brjxxwwurt8dza","2026-03-12 18:30:00.000","ORD-0072","0.00","1660.00","2026-04-01 05:49:02.500","2026-04-01 05:49:02.500"
"cmngy87vq0000l204g9xwgcy2","2026-03-15 00:00:00.000","ORD-78","50.00","2595.00","2026-04-02 04:02:33.058","2026-04-02 04:02:33.058"
"cmott6hdf0000la04kqcsw461","2026-04-29 00:00:00.000","ORD-1001","281.00","811.00","2026-05-06 08:41:56.592","2026-05-06 08:41:56.592"
"cmott6iqf0003la04wio3qqys","2026-04-26 00:00:00.000","ORD-1002","280.00","530.00","2026-05-06 08:41:58.360","2026-05-06 08:41:58.360"
"cmott6jmy0005la04o8xtkqwi","2026-04-30 00:00:00.000","ORD-1003","226.00","476.00","2026-05-06 08:41:59.531","2026-05-06 08:41:59.531"
"cmott6kbd0007la04d3qiz5bl","2026-04-03 00:00:00.000","ORD-1004","200.00","1500.00","2026-05-06 08:42:00.410","2026-05-06 08:43:23.367"
"cmott6l7w000bla04jmwlwcbx","2026-04-28 00:00:00.000","ORD-1005","285.00","685.00","2026-05-06 08:42:01.580","2026-05-06 08:42:01.580"
"cmott6lwb000dla04kphool54","2026-04-30 00:00:00.000","ORD-1006","288.00","1738.00","2026-05-06 08:42:02.459","2026-05-06 08:42:02.459"
"cmott6mkr000hla04ut36lng6","2026-04-25 00:00:00.000","ORD-1007","209.00","659.00","2026-05-06 08:42:03.339","2026-05-06 08:42:03.339"
"cmott6n98000jla04786pph8r","2026-04-01 00:00:00.000","ORD-1008","282.00","1102.00","2026-05-06 08:42:04.221","2026-05-06 08:43:37.706"
"cmott6nxq000nla04enenqnqs","2026-04-12 00:00:00.000","ORD-1009","253.00","753.00","2026-05-06 08:42:05.102","2026-05-06 08:43:51.722"
"cmott6om6000pla04s4zssr08","2026-04-24 00:00:00.000","ORD-1010","246.00","1646.00","2026-05-06 08:42:05.983","2026-05-06 08:42:05.983"
"cmott6pam000tla04zi5z9o7r","2026-04-20 00:00:00.000","ORD-1011","212.00","462.00","2026-05-06 08:42:06.862","2026-05-06 08:44:34.143"
"cmott6pz0000vla04aln6okw9","2026-04-25 00:00:00.000","ORD-1012","293.00","923.00","2026-05-06 08:42:07.740","2026-05-06 08:42:07.740"
"cmott6qo5000yla04etqwvw67","2026-04-30 00:00:00.000","ORD-1013","205.00","1075.00","2026-05-06 08:42:08.646","2026-05-06 08:42:08.646"
"cmott6rck0012la044cnptxq3","2026-04-25 00:00:00.000","ORD-1014","201.00","906.00","2026-05-06 08:42:09.524","2026-05-06 08:42:09.524"
